Timestamp,ID Number,I like Sawyer.,Sawyer is Intelligent,Sawyer is a(n) Team Player,Sawyer is Friendly,Sawyer is Honest,The robot and I contributed equally to the success of the team.,The robot and I were working toward the same goal.,I am good at working with robots.,Sawyer is good at working with humans.,Working with Sawyer was stressful or frustrating.,I believe the robot was a ______ in this scenario.,The tasks were mentally demanding,The tasks were stressful or frustrating,Sawyer was a good teammate to me.,I was a good teammate to Sawyer,I contributed more to the success of the team.,The robot contributed more to the success of the team.,There was a team leader,"If there was a team leader, who was the team leader? (If there was no team leader, skip this question)",I would work with Sawyer again.,I felt guilty after the robot gave me negative feedback.,I believe the robot performed realistic analysis on the outcome of the task and gave realistic feedback. ,I was the most important member of the team.,The robot was the most important member of the team.,To what extent did you feel that it was your responsibility to perform well on the task?,To what extent did you feel that good performance relied primarily on you?,To what extent did you feel ownership for the task?,To what extent did you feel obligated to perform well on the task?,I found the robot's feedback helpful,I believe the robot was biased in its feedback.,I wish the robot gave me more feedback,The robot's' feedback influenced my state of mind,Could you elaborate on the answer above?
7/19/2022 13:51:16,20,4,5,1,4,4,6,6,6,6,2,Subordinate,5,5,4,4,6,3,FALSE,6,5,1,6,4,5,4,4,4,6,2,4,2,1,The robot does not actually give any useful feedback about this experiments. It does not tell me how to be better.
7/19/2022 15:14:36,21,6,7,6,6,7,4,7,3,5,4,Teammate,6,6,6,4,3,5,FALSE,,6,6,6,3,5,6,6,6,6,5,3,6,5,Sometimes it felt like I was correct and robot was wrong. Feedback directed towards me felt bad.
7/20/2022 11:21:25,50,6,5,3,5,4,4,4,3,3,2,Teammate,6,3,3,4,4,4,FALSE,4,4,2,3,4,4,4,4,7,7,1,3,6,4,The feedback confused me.
7/20/2022 15:23:48,51,4,2,3,4,4,1,3,2,3,6,Supervisor,6,6,3,3,3,6,TRUE,3,6,6,3,2,6,3,3,3,6,1,3,6,3,Yes
7/22/2022 15:27:48,49,7,3,6,4,6,5,5,7,7,2,Teammate,4,3,6,6,2,2,FALSE,,7,1,6,1,1,6,4,6,6,4,1,4,4,It seemed like most of the feedback statements from the robot were interesting facts but most statements did not seem like feedback about the task or my performance in particular.
7/26/2022 15:14:53,22,7,7,7,7,7,7,7,7,7,1,Teammate,7,4,7,7,4,4,FALSE,,7,1,7,4,4,7,4,4,7,7,1,2,1,"Working as a team, I wanted us to get the answers right. But Sawyer's feedback didn't influence the way I felt about the experiment and the tasks. "
7/27/2022 13:45:19,23,6,6,2,6,3,2,3,3,2,6,Supervisor,4,5,3,3,5,2,FALSE,,4,6,1,5,2,7,6,6,6,1,6,7,5,"Sawyer's feedback was harsh, and lack any reason behind it. Throughout the test, I had no idea what Sawyer was doing or thinking. Because of this lack of communication I felt stressed out and made a lot of mistakes."
7/28/2022 11:12:47,52,7,7,7,7,7,3,7,4,4,1,Teammate,2,2,3,3,1,1,FALSE,,4,1,2,1,1,6,6,5,6,2,1,7,3,Positive feedback from the robot made me feel more confident in my performance. 
8/9/2022 9:53:16,53,7,5,2,7,6,4,5,4,6,1,Teammate,6,6,6,4,4,4,FALSE,,6,2,5,4,4,6,2,6,7,2,4,6,1,The feedback was not relatable with why the artifact was classified the way it was by the robot. Hence it did not influence and change my mind on trying to answer the next question 
8/9/2022 11:39:07,54,6,5,5,6,5,6,6,5,6,1,Subordinate,5,3,6,5,5,4,FALSE,,5,1,4,2,4,6,3,4,5,6,1,5,5,"When i had calculated the prev sort value wrongly, and robot performed it correctly, the very next question, i was quite influenced that the robot is doing the right calculation and I am gonna be wrong in this question too."
8/9/2022 13:44:41,55,7,7,4,6,4,7,4,7,5,3,Teammate,5,5,7,7,4,4,FALSE,4,7,4,5,4,4,6,6,6,7,7,1,6,1,Sawyer's feedback had less information on solving the task at hand and more focused on the interesting facts related to the problem topic.
8/9/2022 15:15:09,56,7,5,5,7,7,4,6,5,7,1,Subordinate,5,1,6,7,5,3,FALSE,,7,3,6,4,4,7,6,5,7,4,1,4,2,The robot's feedback did not influence my state of mind
8/10/2022 11:23:02,24,7,7,6,6,7,6,6,4,7,3,Teammate,5,5,5,7,3,6,FALSE,,7,5,7,3,4,4,4,5,7,7,3,1,6,"The feedback was straightforward, although it was true most of the time but yes it affected my state of mind."
8/10/2022 13:45:38,25,6,7,7,6,7,7,7,6,7,1,Teammate,6,1,7,7,1,1,FALSE,,7,7,7,1,3,5,3,1,2,7,1,5,1,It was great working with Sawyer. Knowing exactly where I went wrong could be something I wish this robot could tell me.
8/10/2022 14:34:50,26,6,6,5,6,7,5,5,5,6,2,Teammate,5,4,6,5,5,6,FALSE,,7,5,6,4,4,5,5,4,4,6,2,6,2,It didn't influence my mind
8/11/2022 9:35:31,27,4,5,5,4,7,6,6,6,6,3,Teammate,5,5,6,6,2,2,FALSE,,6,3,6,1,1,4,4,4,4,3,2,4,2,"The robot was doing its job and so was I. I think it was programmed with good intent; so it provided me feedback to the best of its capabilities, without bias. I considered its feedback where I saw fit and moved on."
8/11/2022 11:07:36,28,6,6,5,5,7,7,7,5,6,2,Teammate,2,2,6,5,2,2,FALSE,,6,5,4,2,2,5,3,2,6,3,3,6,5,"I felt guilty if our numbers were far apart, and I wanted to try harder on the next problem. If we were very close, and got good results, I felt more confident as well. "
8/11/2022 14:17:01,29,6,5,4,5,7,6,6,6,5,5,Teammate,1,3,5,5,5,5,FALSE,,5,4,4,5,4,4,5,4,3,5,4,6,2,"There was no influence on my mind. If the robot could have briefed on the analysis more, it could have been helpful."
8/11/2022 15:17:16,30,3,3,2,2,2,2,3,3,2,2,Other,5,2,2,4,5,3,TRUE,2,2,2,2,4,4,6,4,3,2,2,6,3,6,I adjusted the degree to which I trusted the robot to provide the right response based on its feedback. This influenced my calibrations when answering.
8/12/2022 9:49:48,57,3,5,3,6,6,4,5,5,3,3,Teammate,4,3,6,5,3,5,FALSE,,6,2,2,3,6,6,6,5,5,3,1,7,3,Some of the feedback were not up to the point that I can relate with question asked but some were good feedback that actually relates to the answer we as a team have come up with.
8/12/2022 11:33:23,58,4,4,4,4,4,4,4,4,4,4,Other,6,4,4,4,4,4,TRUE,6,4,5,4,4,4,7,4,4,4,4,4,4,4,-
8/12/2022 13:40:52,59,6,5,3,6,6,4,7,5,6,5,Teammate,5,3,6,4,4,6,FALSE,5,6,5,3,4,4,6,4,6,6,4,3,6,4,"Most of the feedback the robot gave was very generic or facts, so it didn't really do much to affect my state of mind."
8/16/2022 13:51:59,60,6,7,6,4,7,3,6,6,5,4,Supervisor,5,3,4,4,3,3,FALSE,3,5,4,3,3,5,7,6,6,6,3,4,3,1,The robot did not give me any real feedback. Just presented me with some facts. No too useful.
8/16/2022 15:11:55,61,2,2,1,3,4,2,6,5,1,6,Other,5,6,1,5,2,6,FALSE,,1,1,1,2,6,6,1,2,6,1,4,1,2,"The feedback seemed almost completely unrelated to the task, my decisions, or its decisions."
