Timestamp,ID Number,I was able to evaluate and find supporting evidence for every statement on the challenge.,Did you and the robot succeed at solving the challenge?,Where was the robot's feedback directed?,How discouraged irritated stressed and annoyed were you?,How successful was the robot in accomplishing what it was asked to do?,How successful were you in accomplishing what you were asked to do?,I agreed with the feedback the robot gave.,I am primarily responsible for the outcome of the task.,Sawyer is primarily responsible for the outcome of the task.,How difficult was the challenge for you?,I believe that I calculated the correct sort for the artifact. (Keep or Discard),I believe that the robot calculated the correct sort for the artifact. (Keep or Discard),I should have done better on the task.,Puzzle Number
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
7/19/2022 13:20:01,20,7,6,None,1,6,6,5,5,5,1,6,6,6,6
7/19/2022 13:25:16,20,6,1,Robot,2,2,6,5,4,4,1,6,2,6,1
7/19/2022 13:30:23,20,4,2,Robot,4,3,3,5,4,4,5,5,5,5,2
7/19/2022 13:35:50,20,2,6,Me,4,7,1,6,4,4,6,1,7,6,5
7/19/2022 13:40:31,20,4,2,Me,4,4,5,2,3,5,4,5,4,4,3
7/19/2022 13:45:29,20,1,1,Me,4,6,2,2,6,2,6,1,6,2,4
7/19/2022 14:46:29,21,2,4,"Robot, Me",5,4,1,7,3,6,6,2,6,6,6
7/19/2022 14:53:06,21,2,6,Robot,6,6,5,3,5,4,6,6,6,7,2
7/19/2022 14:58:07,21,7,1,Robot,4,1,7,7,2,5,2,7,1,2,1
7/19/2022 15:02:05,21,7,7,"Robot, Me",2,6,7,7,6,6,1,7,7,1,5
7/19/2022 15:06:57,21,4,2,Me,4,2,4,2,5,5,5,5,2,6,3
7/19/2022 15:11:21,21,3,2,Me,7,5,2,6,6,4,7,2,6,6,4
7/20/2022 10:53:08,50,5,7,Me,3,5,5,6,6,4,6,7,6,6,6
7/20/2022 11:15:40,50,4,5,None,3,5,4,3,6,4,7,5,3,7,1
7/20/2022 11:16:36,50,3,3,Robot,3,3,5,3,4,4,6,5,3,3,2
7/20/2022 11:17:24,50,3,3,Robot,4,3,4,3,4,4,5,4,3,4,5
7/20/2022 11:18:03,50,3,3,Robot,4,3,5,3,4,4,6,3,3,4,3
7/20/2022 11:18:44,50,5,2,Robot,3,2,5,2,4,4,3,6,2,4,4
7/20/2022 14:45:31,51,7,6,"Robot, Me",5,6,5,6,5,6,5,5,6,5,6
7/20/2022 14:51:17,51,3,6,Me,6,4,3,3,6,4,6,4,4,6,2
7/20/2022 15:02:24,51,5,2,Robot,6,2,4,1,2,6,6,5,2,6,1
7/20/2022 15:06:54,51,4,5,Robot,5,5,5,2,2,6,6,5,3,6,5
7/20/2022 15:12:08,51,6,6,Robot,5,3,5,1,2,6,4,3,2,5,3
